params_b,bits,weight_gib,ceiling_tps_T4,ceiling_tps_M2,ceiling_tps_smartphone
0.135,16,0.251,1185.2,370.4,185.2
0.135,8,0.126,2370.4,740.7,370.4
0.135,4,0.063,4740.7,1481.5,740.7
0.36,16,0.671,444.4,138.9,69.4
0.36,8,0.335,888.9,277.8,138.9
0.36,4,0.168,1777.8,555.6,277.8
0.5,16,0.931,320.0,100.0,50.0
0.5,8,0.466,640.0,200.0,100.0
0.5,4,0.233,1280.0,400.0,200.0
0.6,16,1.118,266.7,83.3,41.7
0.6,8,0.559,533.3,166.7,83.3
0.6,4,0.279,1066.7,333.3,166.7
1.5,16,2.794,106.7,33.3,16.7
1.5,8,1.397,213.3,66.7,33.3
1.5,4,0.698,426.7,133.3,66.7
3.0,16,5.588,53.3,16.7,8.3
3.0,8,2.794,106.7,33.3,16.7
3.0,4,1.397,213.3,66.7,33.3
