run_id,notebook,model,precision,runtime,device,input_tokens,output_tokens,ttft_s,decode_tps,peak_mem_mib,model_file_mib,quality_score,timestamp,notes,FAIL_사유,판정
e5528b52,v2_d1_01,(env),,env,arm64-mps,,,,,,,,2026-07-23T10:09:30+00:00,device_label=arm64-mps;cpu_cores=16;ram_gib=64.0;transformers=5.14.1,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
,,,,,,,,,,,,,,,,미측정
8a71dbe7,v2_d1_02,SmolLM2-135M-Instruct,fp32,transformers,arm64-mps,121,32,0.016,112.5,1099.6,621.1,0,2026-07-23T10:09:53+00:00,probe=0/3;load_s=1.2,quality ,FAIL
f4858220,v2_d1_02,SmolLM2-360M-Instruct,fp32,transformers,arm64-mps,121,32,0.023,87.3,1341.0,1560.2,2,2026-07-23T10:09:57+00:00,probe=2/3;load_s=1.3,quality ,FAIL
dbcc04e2,v2_d1_03,HuggingFaceTB/SmolLM2-360M-Instruct,fp32,transformers,arm64-mps,115,32,0.024,89.9,1037.0,1560.2,2,2026-07-23T10:10:19+00:00,기준선 probe 3문항,quality ,FAIL
30b88b97,v2_d1_03,HuggingFaceTB/SmolLM2-360M-Instruct,int8-torchao,transformers-cpu,arm64-mps,115,32,0.229,25.4,2148.7,1560.2,2,2026-07-23T10:10:28+00:00,CPU 데모 · probe 3문항(만점 3),quality ,FAIL
a0a075fa,v2_d1_04,HuggingFaceTB/SmolLM2-135M-Instruct,fp32,transformers,arm64-mps,166,32,0.019,108.0,874.4,,,2026-07-23T10:10:38+00:00,ctx_target=128,,PASS
89785725,v2_d1_04,HuggingFaceTB/SmolLM2-135M-Instruct,fp32,transformers,arm64-mps,549,32,0.03,110.7,877.8,,,2026-07-23T10:10:39+00:00,ctx_target=512,,PASS
31be4765,v2_d1_04,HuggingFaceTB/SmolLM2-135M-Instruct,fp32,transformers,arm64-mps,1061,32,0.048,107.6,881.5,,,2026-07-23T10:10:40+00:00,ctx_target=1024,,PASS
051dac4e,v2_d1_05,Qwen2.5-0.5B-Instruct-GGUF,q4_k_m,llama.cpp,arm64-mps,106,67,0.001,271.3,997.6,468.6,2,2026-07-23T10:10:49+00:00,"probe 3문항, CPU 실행",quality ,FAIL
4dbb8117,v2_d1_05,Qwen2.5-0.5B-Instruct-GGUF,q8_0,llama.cpp,arm64-mps,106,64,0.001,300.4,1460.2,644.4,2,2026-07-23T10:10:51+00:00,"probe 3문항, CPU 실행",quality ,FAIL
17585a68,v2_d2_01,SmolLM2-360M-Instruct,layerdrop-32of32,transformers,arm64-mps,84,96,0.021,88.1,1145.1,1560.2,,2026-07-23T10:11:15+00:00,ppl=3.51; layers=32/32,,PASS
8138e67b,v2_d2_01,SmolLM2-360M-Instruct,layerdrop-28of32,transformers,arm64-mps,84,22,0.019,97.9,1145.2,1410.2,,2026-07-23T10:11:16+00:00,ppl=4.84; layers=28/32,,PASS
3593a469,v2_d2_01,SmolLM2-360M-Instruct,layerdrop-24of32,transformers,arm64-mps,84,96,0.016,110.7,1145.2,1260.2,,2026-07-23T10:11:19+00:00,ppl=10.11; layers=24/32,,PASS
0f657f67,v2_d2_01,SmolLM2-360M-Instruct,sparse-0.0,transformers,arm64-mps,84,96,0.022,87.8,1121.4,1560.2,,2026-07-23T10:11:05+00:00,ppl=3.51; zero=0.00,,PASS
62c39350,v2_d2_01,SmolLM2-360M-Instruct,sparse-0.5,transformers,arm64-mps,84,96,0.021,88.2,1134.6,1560.2,,2026-07-23T10:11:10+00:00,ppl=23.75; zero=0.50,,PASS
71f4d4e1,v2_d2_02,HuggingFaceTB/SmolLM2-135M-Instruct,fp16,transformers,arm64-mps,,,,,,,0.0,2026-07-23T10:12:03+00:00,distill-before ppl=4.58 teacher=HuggingFaceTB/SmolLM2-360M-Instruct,quality ,FAIL
d4a3fa02,v2_d2_02,HuggingFaceTB/SmolLM2-135M-Instruct,fp16-distilled,transformers,arm64-mps,,,,,,,0.0,2026-07-23T10:12:03+00:00,distill-after ppl=4.48 steps=20 T=2.0 alpha=0.5,quality ,FAIL
b049b0c4,v2_d2_02,HuggingFaceTB/SmolLM2-135M-Instruct,fp16-distilled,transformers,arm64-mps,,,,,,,1.0,2026-07-23T10:12:14+00:00,probe_v1 (점심 러닝),quality ,FAIL
aa064514,v2_d2_02,HuggingFaceTB/SmolLM2-360M-Instruct,fp16,transformers,arm64-mps,,,,,,,3.0,2026-07-23T10:12:14+00:00,probe_v1 teacher (점심 러닝),,PASS
3258491d,v2_d2_02,HuggingFaceTB/SmolLM2-135M-Instruct,base,transformers,arm64-mps,,,,,,257.4,,2026-07-23T10:11:44+00:00,fp16 환산 저장 크기,,미측정
ac31e1bd,v2_d2_02,HuggingFaceTB/SmolLM2-135M-Instruct,lora-r4,transformers+peft,arm64-mps,,,,,,1.8,,2026-07-23T10:11:44+00:00,adapter만 / base 대비 0.70% / steps=20,,미측정
